urun_id,urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,özelli̇kler_suya_dayanıklılık,ekran_ekran_teknolojisi_Dynamic AMOLED,ekran_ekran_teknolojisi_IPS LCD,ekran_ekran_teknolojisi_OLED,ekran_ekran_teknolojisi_PLS,ekran_ekran_teknolojisi_Super AMOLED,ekran_ekran_teknolojisi_TFT LCD,ekran_ekran_çözünürlüğü_standardı_FHD+,ekran_ekran_çözünürlüğü_standardı_HD,ekran_ekran_çözünürlüğü_standardı_HD+,ekran_ekran_çözünürlüğü_standardı_QHD+,ekran_ekran_çözünürlüğü_standardı_SD,kamera_video_kayıt_çözünürlüğü_1440p (Quad HD) 2K,kamera_video_kayıt_çözünürlüğü_2160p (Ultra HD) 4K,kamera_video_kayıt_çözünürlüğü_4320p (Ultra HD) 8K,kamera_video_kayıt_çözünürlüğü_480p,kamera_video_kayıt_çözünürlüğü_720p (HD),kamera_video_kayıt_çözünürlüğü_Unknown,tasarim_gövde_malzemesi_kapak_Cam | Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Cam | Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Fiberglass,tasarim_gövde_malzemesi_kapak_Fiberglass | Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Metal,tasarim_gövde_malzemesi_kapak_Plastik,tasarim_gövde_malzemesi_kapak_Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Plastik (Metalik Görünümlü),tasarim_gövde_malzemesi_kapak_PoliKarbonat (Metalik Görünümlü),tasarim_gövde_malzemesi_kapak_Polikarbonat,tasarim_gövde_malzemesi_kapak_Polimer (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Unknown,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_BlackBerry OS,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_iOS
1,11.580584113444043,90.0,6.9,120.0,4832.0,1,40.0,1,48.0,1.0,60.0,18.0,6.0,3.0,2697900.0,12.0,256.0,8.75,231.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,11.251560700835821,99.0,6.71,120.0,7100.0,1,100.0,1,50.0,1.0,60.0,50.0,8.0,3.0,655.2,12.0,512.0,8.32,219.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,10.566201298475118,89.0,6.83,144.0,5500.0,1,90.0,1,50.0,1.0,30.0,32.0,8.0,3.0,2393700.0,12.0,512.0,7.96,210.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,10.757902880692196,70.0,6.1,60.0,3349.0,1,20.0,1,48.0,1.0,60.0,12.0,6.0,4.0,1753700.0,6.0,128.0,7.8,171.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,11.177452728682098,82.0,6.3,120.0,3692.0,1,40.0,1,48.0,1.0,60.0,18.0,6.0,3.0,2542200.0,8.0,256.0,7.95,177.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,10.373459931293572,74.0,6.7,120.0,4900.0,1,45.0,1,50.0,1.0,30.0,12.0,10.0,4.0,1810600.0,8.0,256.0,7.4,190.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,11.260404080038665,97.0,6.78,120.0,7500.0,1,80.0,1,50.0,1.0,60.0,50.0,8.0,3.0,2719600.0,16.0,512.0,8.25,224.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,9.995884401802096,76.0,6.67,120.0,6000.0,1,90.0,0,50.0,1.0,60.0,20.0,8.0,4.0,1700100.0,12.0,512.0,8.29,195.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,10.973132647261322,75.0,6.1,60.0,3561.0,1,25.0,1,48.0,1.0,60.0,12.0,6.0,3.0,1517700.0,8.0,128.0,7.8,170.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,10.020158859339821,65.0,6.7,120.0,5000.0,1,45.0,0,50.0,1.0,30.0,12.0,8.0,4.0,910.5,8.0,256.0,7.4,198.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,11.466881526468821,89.0,6.3,120.0,3988.0,1,40.0,1,48.0,1.0,60.0,18.0,6.0,3.0,2430600.0,12.0,256.0,8.75,204.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,9.411647228681218,60.0,6.67,120.0,5500.0,1,45.0,0,200.0,1.0,60.0,32.0,8.0,6.0,423.9,8.0,256.0,8.24,180.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,11.223642645339366,100.0,6.78,165.0,7300.0,1,120.0,1,50.0,1.0,30.0,32.0,8.0,3.0,2790200.0,16.0,512.0,8.2,215.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,11.002099841204238,94.0,6.31,120.0,6040.0,1,90.0,1,200.0,1.0,60.0,50.0,8.0,3.0,2554000.0,16.0,512.0,7.95,190.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,10.668955394675699,87.0,6.83,144.0,5500.0,1,90.0,1,50.0,1.0,30.0,32.0,8.0,3.0,2393700.0,12.0,256.0,7.96,210.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,11.263182002076771,88.0,6.9,120.0,5000.0,1,45.0,1,200.0,1.0,30.0,12.0,8.0,3.0,2551600.0,12.0,512.0,8.2,218.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,10.60905725309463,72.0,6.1,60.0,4005.0,1,20.0,1,48.0,1.0,60.0,12.0,6.0,3.0,1405700.0,8.0,128.0,7.8,167.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,10.494048144320972,83.0,6.7,120.0,6000.0,1,100.0,1,200.0,1.0,60.0,50.0,8.0,4.0,1902700.0,12.0,512.0,8.1,205.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
19,9.503009985939002,55.0,6.7,90.0,5000.0,1,25.0,0,50.0,1.0,30.0,13.0,8.0,5.0,463.1,8.0,256.0,7.5,192.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20,11.233520773616096,87.0,6.9,120.0,5000.0,1,45.0,1,200.0,1.0,30.0,12.0,8.0,3.0,2551600.0,12.0,256.0,8.2,218.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,9.767613990601815,62.0,6.77,120.0,6500.0,1,45.0,0,200.0,1.0,60.0,32.0,8.0,6.0,655.2,8.0,256.0,7.96,195.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
22,9.32375833901174,53.0,6.9,144.0,7000.0,1,33.0,0,50.0,0.0,30.0,8.0,8.0,6.0,372.1,8.0,256.0,8.4,214.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23,9.800899301709784,63.0,6.7,120.0,5000.0,1,45.0,0,50.0,1.0,30.0,12.0,8.0,4.0,655.2,8.0,256.0,7.4,195.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,10.793434309070681,82.0,6.7,120.0,3900.0,1,25.0,1,200.0,1.0,30.0,12.0,8.0,3.0,2161200.0,12.0,256.0,5.8,163.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,9.970722279392168,73.0,6.67,120.0,6000.0,1,90.0,0,50.0,1.0,60.0,20.0,8.0,4.0,1700100.0,8.0,256.0,8.29,195.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
26,11.001683087707896,86.0,6.7,120.0,4900.0,1,45.0,1,50.0,1.0,30.0,12.0,8.0,3.0,2258900.0,12.0,256.0,7.3,190.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,10.778956289890028,82.0,6.2,120.0,4000.0,1,25.0,1,50.0,1.0,30.0,12.0,8.0,3.0,2193700.0,12.0,256.0,7.2,162.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,10.604210216527123,64.0,6.1,60.0,3227.0,1,20.0,1,12.0,1.0,60.0,12.0,6.0,5.0,1550800.0,4.0,128.0,7.65,174.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,10.373491181781864,75.0,6.2,120.0,4000.0,1,25.0,1,50.0,1.0,30.0,12.0,10.0,4.0,1851600.0,8.0,256.0,7.6,167.0,0.0,1,1,1,1,5.3,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,10.099054336080103,67.0,6.83,120.0,6580.0,1,45.0,0,200.0,1.0,30.0,20.0,8.0,4.0,652.9,8.0,256.0,7.96,210.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
31,11.429543856031177,88.0,6.9,120.0,4685.0,1,30.0,1,48.0,1.0,60.0,12.0,6.0,3.0,1949200.0,8.0,256.0,8.25,227.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,10.589238699745707,79.0,6.7,120.0,4900.0,1,45.0,1,50.0,1.0,30.0,12.0,10.0,4.0,1827100.0,12.0,256.0,7.7,196.0,0.0,1,1,1,1,5.3,1.0,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,10.402776888483789,79.0,6.83,120.0,5500.0,1,67.0,0,50.0,1.0,60.0,32.0,8.0,4.0,1640700.0,12.0,256.0,7.5,194.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,9.16861171656313,48.0,6.9,120.0,6000.0,1,33.0,0,50.0,0.0,30.0,8.0,8.0,12.0,274.6,8.0,256.0,7.99,205.0,0.0,1,1,1,1,5.4,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,11.085306768220624,83.0,6.8,120.0,5000.0,1,45.0,1,200.0,1.0,30.0,12.0,8.0,4.0,2019200.0,12.0,256.0,8.6,232.0,0.0,1,1,1,1,5.3,1.0,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,8.942460926820582,42.0,6.7,90.0,5000.0,1,25.0,0,50.0,0.0,30.0,8.0,8.0,6.0,394.4,4.0,128.0,7.6,184.0,0.0,1,1,1,1,5.3,0.0,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
37,9.602382459752207,59.0,6.7,120.0,5000.0,1,25.0,0,50.0,1.0,30.0,13.0,8.0,5.0,599.2,8.0,256.0,7.7,200.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
