urun_fiyat,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
11.445727410406752,69.0,OLED,FHD+,120.0,4832.0,1.0,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2697900.0,12.0,256.0,875.0,231.0,Cam,1,6.0,1.0,iOS,1.0
10.772686676876432,61.0,OLED,FHD+,60.0,3349.0,1.0,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,4.0,1753700.0,6.0,128.0,78.0,171.0,Cam,1,5.3,1.0,iOS,1.0
10.355599259176323,67.0,Dynamic AMOLED,FHD+,120.0,4900.0,1.0,45.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1810600.0,8.0,256.0,74.0,190.0,Cam,1,5.4,1.0,Android,1.0
11.177452728682098,63.0,OLED,FHD+,120.0,3692.0,1.0,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2542200.0,8.0,256.0,795.0,177.0,Cam,1,6.0,1.0,iOS,1.0
10.581419567289593,683.0,AMOLED,FHD+,144.0,5500.0,1.0,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,512.0,796.0,210.0,Fiberglass,1,6.0,1.0,Android,1.0
9.987185111557695,67.0,Super AMOLED,FHD+,120.0,5000.0,1.0,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,910500.0,8.0,256.0,74.0,198.0,Cam,1,5.3,1.0,Android,1.0
11.466881526468821,63.0,OLED,FHD+,120.0,3988.0,1.0,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2430600.0,12.0,256.0,875.0,204.0,Cam,1,6.0,1.0,iOS,1.0
11.350406535472453,678.0,AMOLED,FHD+,120.0,7500.0,1.0,80.0,1,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2719600.0,16.0,512.0,825.0,224.0,,1,6.0,1.0,Android,1.0
10.977168112527893,61.0,OLED,FHD+,60.0,3561.0,1.0,25.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1517700.0,8.0,128.0,78.0,170.0,Cam,1,5.3,1.0,iOS,1.0
10.658798875125242,683.0,AMOLED,FHD+,144.0,5500.0,1.0,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,256.0,796.0,210.0,Fiberglass,1,6.0,1.0,Android,1.0
