feature,importance
batarya_kablosuz_şarj,0.30364367
kamera_optik_görüntü_sabitleyici_ois,0.19774736
ekran_ekran_çözünürlüğü_standardı_FHD+,0.087462366
temel_donanim_antutu_puanı_v10,0.083348006
batarya_hızlı_şarj,0.068328224
ekran_ekran_teknolojisi_OLED,0.045397628
i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_iOS,0.038000625
temel_donanim_cpu_üretim_teknolojisi,0.0247788
ekran_ekran_teknolojisi_IPS LCD,0.020108905
kablosuz_bağlantilar_nfc,0.010974308
temel_donanim_cpu_çekirdeği,0.01077928
kamera_ön_kamera_çözünürlüğü,0.009525584
temel_donanim_dahili_depolama,0.009493975
tasarim_ağırlık,0.008302854
kamera_video_fps_değeri,0.0058014747
ekran_ekran_teknolojisi_Super AMOLED,0.0056871804
ekran_ekran_çözünürlüğü_standardı_HD+,0.004917762
kamera_video_kayıt_çözünürlüğü_2160p (Ultra HD) 4K,0.004520179
tasarim_gövde_malzemesi_kapak_Plastik (Cam Görünümlü),0.00430712
temel_donanim_bellek_ram,0.004210629
batarya_batarya_kapasitesi_tipik,0.0041429666
tasarim_gövde_malzemesi_kapak_Plastik (Metalik Görünümlü),0.003956209
kamera_video_kayıt_çözünürlüğü_1440p (Quad HD) 2K,0.003725645
tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),0.0036675676
tasarim_gövde_malzemesi_kapak_Polimer (Cam Görünümlü),0.0031146316
batarya_hızlı_şarj_gücü_maks.,0.0030826854
kamera_video_kayıt_çözünürlüğü_4320p (Ultra HD) 8K,0.0029847731
ekran_ekran_boyutu,0.0029563427
tasarim_kalınlık,0.0026796653
ekran_ekran_teknolojisi_PLS,0.0026300498
tasarim_gövde_malzemesi_kapak_Unknown,0.0025340712
kablosuz_bağlantilar_bluetooth_versiyonu,0.002493116
kamera_kamera_çözünürlüğü,0.0019457246
ekran_ekran_yenileme_hızı,0.0018975706
tasarim_gövde_malzemesi_kapak_Fiberglass,0.0016623948
özelli̇kler_suya_dayanıklılık,0.00163735
tasarim_gövde_malzemesi_kapak_Polikarbonat,0.0014916447
tasarim_gövde_malzemesi_kapak_Plastik,0.0011847932
tasarim_gövde_malzemesi_kapak_Cam | Kauçuk/Plastik (Deri Görünümlü),0.00096619636
tasarim_gövde_malzemesi_kapak_Cam | Plastik (Cam Görünümlü),0.0009459936
ekran_ekran_çözünürlüğü_standardı_QHD+,0.000840771
kamera_video_kayıt_çözünürlüğü_720p (HD),0.0007585535
tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü),0.0006326866
ekran_ekran_teknolojisi_Dynamic AMOLED,0.00038236124
ekran_ekran_çözünürlüğü_standardı_HD,0.00019494643
kamera_video_kayıt_çözünürlüğü_Unknown,6.386008e-05
kamera_video_kayıt_çözünürlüğü_480p,3.8586768e-05
tasarim_gövde_malzemesi_kapak_PoliKarbonat (Metalik Görünümlü),2.6157779e-05
ekran_ekran_teknolojisi_TFT LCD,2.177731e-05
ağ_bağlantilari_4g,5.0350254e-06
ağ_bağlantilari_2g,0.0
ağ_bağlantilari_4.5g_desteği,0.0
ağ_bağlantilari_3g,0.0
ağ_bağlantilari_5g,0.0
ekran_ekran_çözünürlüğü_standardı_SD,0.0
tasarim_gövde_malzemesi_kapak_Fiberglass | Kauçuk/Plastik (Deri Görünümlü),0.0
tasarim_gövde_malzemesi_kapak_Metal,0.0
i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_BlackBerry OS,0.0
