urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_cozunurlugu_standardi,ekran_ekran_yenileme_hizi,ekran_ekran_dayanikliligi,batarya_batarya_kapasitesi_tipik,batarya_hizli_sarj,batarya_hizli_sarj_gucu_maks,batarya_kablosuz_sarj,kamera_kamera_cozunurlugu,kamera_optik_goruntu_sabitleyici_ois,kamera_video_kayit_cozunurlugu,kamera_video_fps_degeri,kamera_on_kamera_cozunurlugu,temel_donanim_cpu_cekirdegi,temel_donanim_cpu_uretim_teknolojisi,temel_donanim_antutu_puani_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalinlik,tasarim_agirlik,tasarim_govde_malzemesi_kapak,ag_baglantilari_5g,kablosuz_baglantilar_bluetooth_versiyonu,kablosuz_baglantilar_nfc,isletim_sistemi_isletim_sistemi,ozellikler_suya_dayaniklilik,ozellikler_suya_dayaniklilik_seviyesi,temel_donanim_yonga_seti_marka
93500.0,90.0,6.9,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),4832,Var,40.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,18.0,6 Çekirdek,3,2.697.900 Puan,12.0,256,8.75,231.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
47699.0,70.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,3349,Var,20.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,4,1.753.700 Puan,6.0,128,7.8,171.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
31431.55,74.0,6.7,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus+,4900,Var,45.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,10 Çekirdek,4,1.810.600 Puan,8.0,256,7.4,190.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Samsung Exynos
71499.0,82.0,6.3,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),3692,Var,40.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,18.0,6 Çekirdek,3,2.542.200 Puan,8.0,256,7.95,177.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
39395.0,89.0,6.83,AMOLED,FHD+,144,Corning Gorilla Glass 7i,5500,Var,90.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,32.0,8 Çekirdek,3,2.393.700 Puan,12.0,512,7.96,210.0,Fiberglass,Var,6.0,Var,Android,1.0,IPX8,MediaTek
21745.0,65.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,45.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,12.0,8 Çekirdek,4,910.500 Puan,8.0,256,7.4,198.0,Cam,Var,5.3,Var,Android,1.0,IPX7,Samsung Exynos
95499.0,89.0,6.3,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),3988,Var,40.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,18.0,6 Çekirdek,3,2.430.600 Puan,12.0,256,8.75,204.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
84999.0,97.0,6.78,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,7500,Var,80.0,1,50,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,3,2.719.600 Puan,16.0,512,8.25,224.0,,Var,6.0,Var,Android,1.0,IPX9,MediaTek
58521.59,75.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass (Gen2),3561,Var,25.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.517.700 Puan,8.0,128,7.8,170.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
42564.48,87.0,6.83,AMOLED,FHD+,144,Corning Gorilla Glass 7i,5500,Var,90.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,32.0,8 Çekirdek,3,2.393.700 Puan,12.0,256,7.96,210.0,Fiberglass,Var,6.0,Var,Android,1.0,IPX8,MediaTek
79999.0,,6.71,OLED,FHD+,120,NanoCrystal Shield,7100,Var,100.0,1,50,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,3,,12.0,512,8.32,219.0,,Var,6.0,Var,Android,1.0,IPX9K,Qualcomm
24010.0,64.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,3227,Var,20.0,1,12,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,5,1.550.800 Puan,4.0,128,7.65,174.0,Cam,Var,5.0,Var,iOS,1.0,IPX8,Apple
12373.44,60.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,5500,Var,45.0,0,200,1.0,1080p (Full HD),60 fps,32.0,8 Çekirdek,6,423.900 Puan,8.0,256,8.24,180.0,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,1.0,IPX4,MediaTek
17744.03,63.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,45.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,12.0,8 Çekirdek,4,655.200 Puan,8.0,256,7.4,195.0,Cam,Var,5.4,Var,Android,1.0,IPX7,Qualcomm
21995.0,76.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass 7i,6000,Var,90.0,0,50,1.0,2160p (Ultra HD) 4K,60 fps,20.0,8 Çekirdek,4,1.700.100 Puan,12.0,512,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,1.0,IPX8,MediaTek
36049.0,83.0,6.7,AMOLED,FHD+,120,,6000,Var,100.0,1,200,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,4,1.902.700 Puan,12.0,512,8.1,205.0,,Var,5.4,Var,Android,1.0,IPX9,Qualcomm
75464.03,87.0,6.9,Dynamic AMOLED,QHD+,120,Corning Gorilla Armor 2,5000,Var,45.0,1,200,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.551.600 Puan,12.0,256,8.2,218.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
47799.0,82.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.193.700 Puan,12.0,256,7.2,162.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
67499.0,94.0,6.31,AMOLED,FHD+,120,,6040,Var,90.0,1,200,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,3,2.554.000 Puan,16.0,512,7.95,190.0,Cam,Var,6.0,Var,Android,1.0,IPX9,MediaTek
