urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_cozunurlugu_standardi,ekran_ekran_yenileme_hizi,ekran_ekran_dayanikliligi,batarya_batarya_kapasitesi_tipik,batarya_hizli_sarj,batarya_hizli_sarj_gucu_maks,batarya_kablosuz_sarj,kamera_kamera_cozunurlugu,kamera_optik_goruntu_sabitleyici_ois,kamera_video_kayit_cozunurlugu,kamera_video_fps_degeri,kamera_on_kamera_cozunurlugu,temel_donanim_cpu_cekirdegi,temel_donanim_cpu_uretim_teknolojisi,temel_donanim_antutu_puani_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalinlik,tasarim_agirlik,tasarim_govde_malzemesi_kapak,ag_baglantilari_5g,kablosuz_baglantilar_bluetooth_versiyonu,kablosuz_baglantilar_nfc,isletim_sistemi_isletim_sistemi,ozellikler_suya_dayaniklilik,ozellikler_suya_dayaniklilik_seviyesi,temel_donanim_yonga_seti_marka
70799.0,86.0,6.3,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),3692,Var,40.0,1,48,1,2160p (Ultra HD) 4K,60 fps,18,6 Çekirdek,3,2.542.200 Puan,8,256,7.95,177.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
47399.0,73.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,3349,Var,20.0,1,48,1,2160p (Ultra HD) 4K,60 fps,12,6 Çekirdek,4,1.753.700 Puan,6,128,7.8,171.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
32568.65,79.0,6.7,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus+,4900,Var,45.0,1,50,1,4320p (Ultra HD) 8K,30 fps,12,10 Çekirdek,4,1.810.600 Puan,8,256,7.4,190.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Samsung Exynos
40135.0,93.0,6.83,AMOLED,FHD+,144,Corning Gorilla Glass 7i,5500,Var,90.0,1,50,1,4320p (Ultra HD) 8K,30 fps,32,8 Çekirdek,3,2.393.700 Puan,12,512,7.96,210.0,Fiberglass,Var,6.0,Var,Android,1.0,IPX8,MediaTek
95999.0,94.0,6.3,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),3988,Var,40.0,1,48,1,2160p (Ultra HD) 4K,60 fps,18,6 Çekirdek,3,2.430.600 Puan,12,256,8.75,204.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
106999.0,95.0,6.9,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),4832,Var,40.0,1,48,1,2160p (Ultra HD) 4K,60 fps,18,6 Çekirdek,3,2.697.900 Puan,12,256,8.75,231.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
37799.03,68.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,3227,Var,20.0,1,12,1,2160p (Ultra HD) 4K,60 fps,12,6 Çekirdek,5,1.550.800 Puan,4,128,7.65,174.0,Cam,Var,5.0,Var,iOS,1.0,IPX8,Apple
21905.0,80.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass 7i,6000,Var,90.0,0,50,1,2160p (Ultra HD) 4K,60 fps,20,8 Çekirdek,4,1.700.100 Puan,12,512,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,1.0,IPX8,MediaTek
74999.0,,6.78,AMOLED,FHD+,165,Corning Gorilla Glass Victus 2,7300,Var,120.0,1,50,1,4320p (Ultra HD) 8K,30 fps,32,8 Çekirdek,3,,16,512,8.2,215.0,,Var,6.0,Var,Android,1.0,IPX9K,Qualcomm
22599.0,68.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,45.0,0,50,1,2160p (Ultra HD) 4K,30 fps,12,8 Çekirdek,4,910.500 Puan,8,256,7.4,198.0,Cam,Var,5.3,Var,Android,1.0,IPX7,Samsung Exynos
32074.02,79.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1,4320p (Ultra HD) 8K,30 fps,12,10 Çekirdek,4,1.851.600 Puan,8,256,7.6,167.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Samsung Exynos
12959.0,63.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,5500,Var,45.0,0,200,1,1080p (Full HD),60 fps,32,8 Çekirdek,6,423.900 Puan,8,256,8.24,180.0,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,1.0,IPX4,MediaTek
58849.0,79.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass (Gen2),3561,Var,25.0,1,48,1,2160p (Ultra HD) 4K,60 fps,12,6 Çekirdek,3,1.517.700 Puan,8,128,7.8,170.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
12349.05,53.0,6.68,IPS LCD,HD+,120,SCHOTT Glass,6500,Var,44.0,0,50,0,1080p (Full HD),30 fps,8,8 Çekirdek,6,336.600 Puan,8,256,8.09,208.0,,Yok,5.0,,Android,1.0,IPX4,Qualcomm
34999.0,87.0,6.7,AMOLED,FHD+,120,,6000,Var,100.0,1,200,1,2160p (Ultra HD) 4K,60 fps,50,8 Çekirdek,4,1.902.700 Puan,12,512,8.1,205.0,,Var,5.4,Var,Android,1.0,IPX9,Qualcomm
43754.0,92.0,6.83,AMOLED,FHD+,144,Corning Gorilla Glass 7i,5500,Var,90.0,1,50,1,4320p (Ultra HD) 8K,30 fps,32,8 Çekirdek,3,2.393.700 Puan,12,256,7.96,210.0,Fiberglass,Var,6.0,Var,Android,1.0,IPX8,MediaTek
17343.99,66.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,45.0,0,50,1,2160p (Ultra HD) 4K,30 fps,12,8 Çekirdek,4,655.200 Puan,8,256,7.4,195.0,Cam,Var,5.4,Var,Android,1.0,IPX7,Qualcomm
18059.0,69.0,6.4,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus,4500,Var,25.0,1,12,1,2160p (Ultra HD) 4K,60 fps,32,8 Çekirdek,5,941.400 Puan,8,128,7.9,177.0,Polimer (Cam Görünümlü),Var,5.0,Var,Android,1.0,IPX8,Samsung Exynos
39999.0,77.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,4005,Var,20.0,1,48,1,2160p (Ultra HD) 4K,60 fps,12,6 Çekirdek,3,1.405.700 Puan,8,128,7.8,167.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
46999.0,87.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1,4320p (Ultra HD) 8K,30 fps,12,8 Çekirdek,3,2.193.700 Puan,12,256,7.2,162.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
24960.0,53.0,6.1,IPS LCD,HD+,60,,3110,Var,20.0,1,12,1,2160p (Ultra HD) 4K,60 fps,12,6 Çekirdek,7,950.700 Puan,4,64,8.3,194.0,Cam,Yok,5.0,Var,iOS,1.0,IPX8,Apple
18614.3,,6.77,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,6500,Var,45.0,0,200,1,1080p (Full HD),60 fps,32,8 Çekirdek,6,,8,256,7.96,195.0,,Yok,5.3,Var,Android,1.0,IPX5,MediaTek
40499.0,84.0,6.7,Dynamic AMOLED,QHD+,120,Corning Gorilla Glass Victus 2,4900,Var,45.0,1,50,1,4320p (Ultra HD) 8K,30 fps,12,10 Çekirdek,4,1.827.100 Puan,12,256,7.7,196.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Samsung Exynos
66480.0,88.0,6.8,Dynamic AMOLED,QHD+,120,Corning Gorilla Armor,5000,Var,45.0,1,200,1,4320p (Ultra HD) 8K,30 fps,12,8 Çekirdek,4,2.019.200 Puan,12,256,8.6,232.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Qualcomm
49499.01,87.0,6.7,Dynamic AMOLED,QHD+,120,Corning Gorilla Glass Ceramic 2,3900,Var,25.0,1,200,1,4320p (Ultra HD) 8K,30 fps,12,8 Çekirdek,3,2.161.200 Puan,12,256,5.8,163.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
78239.04,93.0,6.9,Dynamic AMOLED,QHD+,120,Corning Gorilla Armor 2,5000,Var,45.0,1,200,1,4320p (Ultra HD) 8K,30 fps,12,8 Çekirdek,3,2.551.600 Puan,12,256,8.2,218.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
16320.0,66.0,6.5,Super AMOLED,FHD+,120,Corning Gorilla Glass 3,4500,Var,25.0,1,12,1,2160p (Ultra HD) 4K,60 fps,32,8 Çekirdek,7,802.900 Puan,6,128,8.4,190.0,Polimer (Cam Görünümlü),Yok,5.0,Var,Android,1.0,IPX8,Qualcomm
21389.93,78.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass 7i,6000,Var,90.0,0,50,1,2160p (Ultra HD) 4K,60 fps,20,8 Çekirdek,4,1.700.100 Puan,8,256,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,1.0,IPX8,MediaTek
14299.0,63.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,25.0,0,50,1,2160p (Ultra HD) 4K,30 fps,13,8 Çekirdek,5,599.200 Puan,8,256,7.7,200.0,Cam,Var,5.3,Var,Android,1.0,IPX7,Samsung Exynos
21999.0,,6.79,AMOLED,FHD+,120,,7500,Var,66.0,0,108,1,2160p (Ultra HD) 4K,30 fps,16,8 Çekirdek,4,754.200 Puan,8,256,7.76,189.0,Plastik (Cam Görünümlü),Var,5.2,Var,Android,1.0,IPX9K,Qualcomm
16399.0,69.0,6.4,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus,4500,Var,25.0,1,12,1,2160p (Ultra HD) 4K,60 fps,32,8 Çekirdek,5,955.800 Puan,8,128,7.9,177.0,Polimer (Cam Görünümlü),Var,5.0,Var,Android,1.0,IPX8,Qualcomm
14396.3,62.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass 5,5000,Var,67.0,0,200,1,1080p (Full HD),60 fps,16,8 Çekirdek,6,430.200 Puan,8,256,7.98,188.0,Cam,Yok,5.2,Var,Android,1.0,IPX4,MediaTek
34999.0,87.0,6.7,AMOLED,FHD+,120,,6000,Var,100.0,1,200,1,2160p (Ultra HD) 4K,60 fps,50,8 Çekirdek,4,1.902.700 Puan,12,512,8.1,205.0,,Var,5.4,Var,Android,1.0,IPX9,Qualcomm
