urun_adi,url
Apple iPhone 17,https://www.epey.com/akilli-telefonlar/apple-iphone-17.html
Samsung Galaxy S24 Ultra(SM-S928B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s24-ultra.html
Apple iPhone 13,https://www.epey.com/akilli-telefonlar/apple-iphone-13.html
Apple iPhone 15(128 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-15.html
Xiaomi 15T Pro(512 GB),https://www.epey.com/akilli-telefonlar/xiaomi-15t-pro-512gb.html
Apple iPhone 17 Pro Max,https://www.epey.com/akilli-telefonlar/apple-iphone-17-pro-max.html
Samsung Galaxy S25 FE(SM-S731B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s25-fe.html
Redmi Note 14 Pro(8 GB / 256 GB),https://www.epey.com/akilli-telefonlar/redmi-note-14-pro-4g.html
Apple iPhone 17 Pro,https://www.epey.com/akilli-telefonlar/apple-iphone-17-pro.html
Samsung Galaxy A56 5G(256 GB)(SM-A566B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a56-5g.html
Apple iPhone 16e,https://www.epey.com/akilli-telefonlar/apple-iphone-16e.html
Poco X7 Pro(12 GB / 512 GB),https://www.epey.com/akilli-telefonlar/poco-x7-pro-512gb.html
Samsung Galaxy A36 5G(256 GB)(SM-A366B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a36-5g.html
Xiaomi 15T Pro,https://www.epey.com/akilli-telefonlar/xiaomi-15t-pro.html
Poco X7 Pro,https://www.epey.com/akilli-telefonlar/poco-x7-pro.html
Apple iPhone 16(128 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-16.html
OnePlus 15(CPH2747),https://www.epey.com/akilli-telefonlar/oneplus-15.html
Oppo Find X9 Pro(CPH2791),https://www.epey.com/akilli-telefonlar/oppo-find-x9-pro.html
Honor 400 Pro(DNP-NX9),https://www.epey.com/akilli-telefonlar/honor-400-pro.html
Samsung Galaxy S25+(256 GB)(SM-S936B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s25-plus.html
Samsung Galaxy S25(256 GB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s25-256gb.html
Redmi Note 14(256 GB),https://www.epey.com/akilli-telefonlar/redmi-note-14-256gb.html
Honor Magic7 Pro(PTP-N49),https://www.epey.com/akilli-telefonlar/honor-magic7-pro.html
Redmi Note 14 Pro(12 GB / 512 GB),https://www.epey.com/akilli-telefonlar/redmi-note-14-pro.html
Apple iPhone 16 Pro Max(256 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-16-pro-max.html
Samsung Galaxy A07(SM-A075F),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a07.html
Samsung Galaxy A17 5G(8 GB / 256 GB)(SM-A176B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a17-5g.html
Samsung Galaxy S24 FE(256 GB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s24-fe-256gb.html
Samsung Galaxy S25 Ultra(512 GB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s25-ultra-512gb.html
Samsung Galaxy A26 5G(8 GB / 256 GB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a26-5g-256gb.html
Samsung Galaxy S25 Ultra(SM-S938B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s25-ultra.html
Samsung Galaxy S24(256 GB)(SM-S921B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s24-256gb.html
Vivo Y04(6 GB / 256 GB),https://www.epey.com/akilli-telefonlar/vivo-y04-256gb.html
Redmi Note 14 Pro+,https://www.epey.com/akilli-telefonlar/redmi-note-14-pro-plus.html
Redmi 15,https://www.epey.com/akilli-telefonlar/redmi-15.html
Tecno Spark Slim 5G(KM9),https://www.epey.com/akilli-telefonlar/tecno-spark-slim-5g.html
